Divisao;Secao;Denominacao
1;a;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA
2;a;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA
3;a;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA
5;b;INDÚSTRIAS EXTRATIVAS
6;b;INDÚSTRIAS EXTRATIVAS
7;b;INDÚSTRIAS EXTRATIVAS
8;b;INDÚSTRIAS EXTRATIVAS
9;b;INDÚSTRIAS EXTRATIVAS
10;c;INDÚSTRIAS DE TRANSFORMAÇÃO
11;c;INDÚSTRIAS DE TRANSFORMAÇÃO
12;c;INDÚSTRIAS DE TRANSFORMAÇÃO
13;c;INDÚSTRIAS DE TRANSFORMAÇÃO
14;c;INDÚSTRIAS DE TRANSFORMAÇÃO
15;c;INDÚSTRIAS DE TRANSFORMAÇÃO
16;c;INDÚSTRIAS DE TRANSFORMAÇÃO
17;c;INDÚSTRIAS DE TRANSFORMAÇÃO
18;c;INDÚSTRIAS DE TRANSFORMAÇÃO
19;c;INDÚSTRIAS DE TRANSFORMAÇÃO
20;c;INDÚSTRIAS DE TRANSFORMAÇÃO
21;c;INDÚSTRIAS DE TRANSFORMAÇÃO
22;c;INDÚSTRIAS DE TRANSFORMAÇÃO
23;c;INDÚSTRIAS DE TRANSFORMAÇÃO
24;c;INDÚSTRIAS DE TRANSFORMAÇÃO
25;c;INDÚSTRIAS DE TRANSFORMAÇÃO
26;c;INDÚSTRIAS DE TRANSFORMAÇÃO
27;c;INDÚSTRIAS DE TRANSFORMAÇÃO
28;c;INDÚSTRIAS DE TRANSFORMAÇÃO
29;c;INDÚSTRIAS DE TRANSFORMAÇÃO
30;c;INDÚSTRIAS DE TRANSFORMAÇÃO
31;c;INDÚSTRIAS DE TRANSFORMAÇÃO
32;c;INDÚSTRIAS DE TRANSFORMAÇÃO
