Sigla da Unidade da Federação;Código do Município;Nome do Município;PIB;PIB PER CAPITA;Ano
AC;1200013;Acrelândia;236.379.386,00;15.737,64;2018
AC;1200054;Assis Brasil;91.485.893,00;12.532,31;2018
AC;1200104;Brasiléia;417.839.292,00;16.165,25;2018
AC;1200138;Bujari;157.797.041,00;15.606,47;2018
AC;1200179;Capixaba;170.402.523,00;14.874,52;2018
AC;1200203;Cruzeiro do Sul;1.425.684.781,00;16.261,39;2018
AC;1200252;Epitaciolândia;459.388.218,00;25.349,75;2018
AC;1200302;Feijó;364.112.450,00;10.500,72;2018
AC;1200328;Jordão;76.928.799,00;9.428,70;2018
AC;1200336;Mâncio Lima;198.111.625,00;10.629,45;2018
AC;1200344;Manoel Urbano;125.008.412,00;13.389,93;2018
AC;1200351;Marechal Thaumaturgo;192.829.951,00;10.462,83;2018
AC;1200385;Plácido de Castro;252.906.442,00;12.926,47;2018
AC;1200393;Porto Walter;112.155.821,00;9.569,61;2018
AC;1200401;Rio Branco;8.940.823.180,00;22.287,70;2018
AC;1200427;Rodrigues Alves;184.545.289,00;9.973,26;2018
AC;1200435;Santa Rosa do Purus;71.467.473,00;11.233,49;2018
AC;1200450;Senador Guiomard;373.185.440,00;16.360,61;2018
AC;1200500;Sena Madureira;518.416.142,00;11.475,22;2018
AC;1200609;Tarauacá;488.825.264,00;11.645,35;2018
AC;1200708;Xapuri;239.113.599,00;12.553,21;2018
AC;1200807;Porto Acre;233.715.568,00;12.855,64;2018
AL;2700102;Água Branca;141.230.894,00;7.004,81;2018
AL;2700201;Anadia;165.088.982,00;9.399,28;2018
AL;2700300;Arapiraca;4.467.590.162,00;19.389,15;2018
AL;2700409;Atalaia;764.294.858,00;16.261,59;2018
AL;2700508;Barra de Santo Antônio;173.931.350,00;11.013,89;2018
AL;2700607;Barra de São Miguel;194.652.377,00;23.554,26;2018
AL;2700706;Batalha;167.362.395,00;9.068,67;2018
AL;2700805;Belém;84.635.181,00;19.209,07;2018
AL;2700904;Belo Monte;79.155.849,00;11.821,36;2018
AL;2701001;Boca da Mata;329.623.322,00;12.132,78;2018
AL;2701100;Branquinha;497.129.624,00;47.215,27;2018
AL;2701209;Cacimbinhas;94.228.048,00;8.781,74;2018
AL;2701308;Cajueiro;183.879.556,00;8.676,02;2018
AL;2701357;Campestre;58.370.603,00;8.437,50;2018
AL;2701407;Campo Alegre;459.657.759,00;8.124,18;2018
AL;2701506;Campo Grande;85.720.949,00;8.976,96;2018
AL;2701605;Canapi;117.512.891,00;6.629,41;2018
AL;2701704;Capela;184.071.495,00;10.749,33;2018
AL;2701803;Carneiros;61.973.231,00;6.885,91;2018
AL;2701902;Chã Preta;115.708.719,00;15.809,36;2018
AL;2702009;Coité do Nóia;98.638.019,00;9.180,75;2018
AL;2702108;Colônia Leopoldina;253.128.462,00;11.732,49;2018
AL;2702207;Coqueiro Seco;69.078.580,00;11.856,95;2018
AL;2702306;Coruripe;1.272.991.395,00;22.506,12;2018
AL;2702355;Craíbas;217.222.036,00;9.002,53;2018
AL;2702405;Delmiro Gouveia;519.693.451,00;10.039,86;2018
AL;2702504;Dois Riachos;73.764.963,00;6.673,15;2018
AL;2702553;Estrela de Alagoas;116.287.370,00;6.405,96;2018
AL;2702603;Feira Grande;325.086.005,00;14.675,24;2018
AL;2702702;Feliz Deserto;125.393.073,00;26.515,77;2018
AL;2702801;Flexeiras;144.425.250,00;11.307,07;2018
AL;2702900;Girau do Ponciano;343.940.205,00;8.473,94;2018
AL;2703007;Ibateguara;134.755.303,00;8.634,84;2018
AL;2703106;Igaci;197.466.638,00;7.698,80;2018
AL;2703205;Igreja Nova;350.956.552,00;14.378,75;2018
AL;2703304;Inhapi;117.861.619,00;6.413,19;2018
AL;2703403;Jacaré dos Homens;46.306.851,00;8.756,97;2018
AL;2703502;Jacuípe;171.490.207,00;24.373,25;2018
AL;2703601;Japaratinga;161.351.126,00;19.400,16;2018
AL;2703700;Jaramataia;53.005.390,00;9.470,32;2018
AL;2703759;Jequiá da Praia;209.606.759,00;18.032,24;2018
AL;2703809;Joaquim Gomes;261.235.558,00;10.928,99;2018
AL;2703908;Jundiá;46.392.537,00;11.111,98;2018
AL;2704005;Junqueiro;316.838.891,00;12.811,41;2018
AL;2704104;Lagoa da Canoa;203.936.569,00;11.371,50;2018
AL;2704203;Limoeiro de Anadia;409.520.363,00;14.371,66;2018
AL;2704302;Maceió;22.400.312.909,00;22.126,34;2018
AL;2704401;Major Isidoro;176.185.160,00;8.857,53;2018
AL;2704500;Maragogi;629.302.843,00;19.441,53;2018
AL;2704609;Maravilha;67.727.107,00;7.262,18;2018
AL;2704708;Marechal Deodoro;1.926.322.570,00;37.503,36;2018
AL;2704807;Maribondo;144.207.375,00;10.812,58;2018
AL;2704906;Mar Vermelho;36.712.979,00;10.388,51;2018
AL;2705002;Mata Grande;223.585.242,00;8.863,29;2018
