CÓDIGO SIAFI;CNPJ;DESCRIÇÃO;UF;CÓDIGO IBGE
1;5,89363E+12;GUAJARA-MIRIM;RO;1100106
2;8,4745E+13;ALTO ALEGRE DOS PARECIS;RO;1100379
3;5,90313E+12;PORTO VELHO;RO;1100205
8;8,47369E+13;CUJUBIM;RO;1100940
13;4,09271E+12;VILHENA;RO;1100304
15;4,27924E+12;JARU;RO;1100114
16;8,4723E+13;PRIMAVERA DE RONDONIA;RO;1101476
17;4,38051E+12;OURO PRETO DO OESTE;RO;1100155
20;1,25442E+12;SAO FRANCISCO DO GUAPORE;RO;1101492
22;8,47229E+13;TEIXEIROPOLIS;RO;1101559
23;4,39151E+12;COLORADO DO OESTE;RO;1100064
31;3,76221E+13;CALDAZINHA;GO;5204557
32;1,61303E+12;IRACEMA;RR;1400282
35;1,58453E+13;ALVORADA D'OESTE;RO;1100346
36;1,61303E+12;RORAINOPOLIS;RR;1400472
37;2,28552E+13;CABIXI;RO;1100031
39;2,28551E+13;MACHADINHO D'OESTE;RO;1100130
44;1,61411E+12;BELTERRA;PA;1501451
48;1,61332E+12;CANAA DOS CARAJAS;PA;1502152
49;3,76235E+13;JESUPOLIS;GO;5212055
52;1,61334E+12;FLORESTA DO ARAGUAIA;PA;1503044
53;3,76235E+13;SANTO ANTONIO DE GOIAS;GO;5219738
56;1,61222E+12;NOVA IPIXUNA;PA;1504976
59;3,76222E+13;UIRAPURU;GO;5221577
60;1,61186E+12;PLACAS;PA;1505650
61;2,48566E+13;BURITINOPOLIS;GO;5203962
63;2,68678E+13;BURITI DE GOIAS;GO;5203939
64;1,61332E+12;SAO JOAO DA PONTA;PA;1507466
68;1,613E+12;TRACUATEUA;PA;1508035
70;7,20553E+11;VITORIA DO JARI;AP;1600808
71;2,48593E+13;APARECIDA DO RIO DOCE;GO;5201454
72;1,63407E+12;AGUIARNOPOLIS;TO;1700301
75;2,48593E+13;PEROLANDIA;GO;5216452
77;3,68626E+13;CIDADE OCIDENTAL;GO;5205497
78;1,62598E+12;CHAPADA DE AREIA;TO;1704600
82;1,61282E+12;CRIXAS DO TOCANTINS;TO;1706258
85;3,33316E+13;ALTO HORIZONTE;GO;5200555
86;1,6184E+12;LAVANDEIRA;TO;1712157
87;3,33317E+13;NOVA IGUACU DE GOIAS;GO;5214879
90;1,61309E+12;MONTE SANTO DO TOCANTINS;TO;1713700
93;3,74649E+13;SAO PEDRO DA CIPA;MT;5107404
94;1,61588E+12;PUGMIL;TO;1718451
95;3,30007E+13;PONTAL DO ARAGUAIA;MT;5106653
97;3,7465E+13;QUERENCIA;MT;5107065
98;1,63403E+12;SANTA TEREZINHA DO TOCANTINS;TO;1720002
99;1,59434E+13;RIBEIRAOZINHO;MT;5107198
102;1,61362E+12;TUPIRAMA;TO;1721257
104;1,61234E+12;AGUA DOCE DO MARANHAO;MA;2100154
105;4,50893E+12;BRASILEIA;AC;1200104
107;4,01255E+12;CRUZEIRO DO SUL;AC;1200203
108;1,61283E+12;ALTO ALEGRE DO PINDARE;MA;2100477
115;3,74642E+13;SANTO AFONSO;MT;5107263
116;1,6114E+12;BACABEIRA;MA;2101251
117;3,36838E+13;NOVA BANDEIRANTES;MT;5106158
119;3,74656E+13;NOVA MONTE VERDE;MT;5108956
120;1,61255E+12;BELAGUA;MA;2101731
124;1,61235E+12;BERNARDO DO MEARIM;MA;2101939
127;3,74651E+13;ALTO BOA VISTA;MT;5100359
128;1,61267E+12;BOM JESUS DAS SELVAS;MA;2102036
131;3,74647E+13;CONFRESA;MT;5103353
132;1,61232E+12;BREJO DE AREIA;MA;2102150
135;3,7465E+13;GLORIA D'OESTE;MT;5103957
136;1,6013E+12;BURITIRANA;MA;2102358
139;4,03458E+12;RIO BRANCO;AC;1200401
140;1,59855E+12;CAMPESTRE DO MARANHAO;MA;2102556
143;3,72127E+13;NOVA ALVORADA DO SUL;MS;5006002
144;1,61234E+12;CENTRAL DO MARANHAO;MA;2103125
147;3,46936E+13;TARAUACA;AC;1200609
148;1,61232E+12;CENTRO NOVO DO MARANHAO;MA;2103174
153;4,07725E+12;SENADOR GUIOMARD;AC;1200450
154;1,61627E+12;DAVINOPOLIS;MA;2103752
155;4,05121E+12;MANOEL URBANO;AC;1200344
157;4,04599E+12;ASSIS BRASIL;AC;1200054
